CMDLINE /home/lr-2002/anaconda3/envs/manigen/bin/python maniskill_startup.py
MEM 13205.628906 1745329567.2947
MEM 13205.628906 1745329567.3950
MEM 13205.628906 1745329567.4952
MEM 13205.628906 1745329567.5954
MEM 13205.628906 1745329567.6956
MEM 13205.628906 1745329567.7958
MEM 13220.628906 1745329567.8960
MEM 13246.128906 1745329567.9963
MEM 13264.628906 1745329568.0966
MEM 13308.628906 1745329568.1968
MEM 13335.628906 1745329568.2970
MEM 13355.628906 1745329568.3973
MEM 13396.628906 1745329568.4976
MEM 13428.128906 1745329568.5979
MEM 13449.628906 1745329568.6981
MEM 13233.738281 1745329568.7984
MEM 13277.738281 1745329568.8987
MEM 13321.238281 1745329568.9991
MEM 13365.738281 1745329569.0994
MEM 13409.738281 1745329569.1997
MEM 13453.738281 1745329569.3000
MEM 13456.988281 1745329569.4003
MEM 13456.988281 1745329569.5005
MEM 13456.988281 1745329569.6007
MEM 13456.988281 1745329569.7010
